Time,Lat,Lon,scPDSI
1015,45.75,15.5,-1.236
1015,46.25,15.5,-1.319
1015,46.75,15.5,-0.806
1015,45.25,16,-2.719
1015,45.75,16,0.051
1015,46.25,16,0.854
1015,46.75,16,0.05
1015,45.25,16.5,-3.793
1015,45.75,16.5,-2.526
1015,46.25,16.5,-0.988
1015,46.75,16.5,-0.468
1016,45.25,15.5,0.045
1016,45.75,15.5,1.245
1016,46.25,15.5,2.672
1016,46.75,15.5,1.799
1016,45.25,16,-0.282
1016,45.75,16,0.161
1016,46.25,16,2.891
1016,46.75,16,2.498
1016,45.25,16.5,0.104
1016,45.75,16.5,-0.658
1016,46.25,16.5,-0.162
1016,46.75,16.5,0.713
1017,45.25,15.5,-3.138
1017,45.75,15.5,-2.578
1017,46.25,15.5,-0.412
1017,46.75,15.5,1.709
1017,45.25,16,-2.853
1017,45.75,16,-1.912
1017,46.25,16,0.636
1017,46.75,16,-0.414
1017,45.25,16.5,-2.621
1017,45.75,16.5,-4.004
1017,46.25,16.5,-2.009
1017,46.75,16.5,0.471
1018,45.25,15.5,-0.113
1018,45.75,15.5,0.366
1018,46.25,15.5,2.112
1018,46.75,15.5,2.539
1018,45.25,16,0.829
1018,45.75,16,-1.858
1018,46.25,16,2.052
1018,46.75,16,2.722
1018,45.25,16.5,-0.013
1018,45.75,16.5,0.025
1018,46.25,16.5,0.062
1018,46.75,16.5,1.407
1019,45.25,15.5,-1.487
1019,45.75,15.5,-1.597
1019,46.25,15.5,-0.618
1019,46.75,15.5,-1.914
1019,45.25,16,-0.693
1019,45.75,16,0.232
1019,46.25,16,0.531
1019,46.75,16,0.518
1019,45.25,16.5,-3.057
1019,45.75,16.5,-1.005
1019,46.25,16.5,-2.172
1019,46.75,16.5,-2.678
1020,45.25,15.5,1.21
1020,45.75,15.5,2.232
1020,46.25,15.5,3.869
1020,46.75,15.5,-0.279
1020,45.25,16,-1.276
1020,45.75,16,-1.526
1020,46.25,16,1.187
1020,46.75,16,2.424
1020,45.25,16.5,0.666
1020,45.75,16.5,-1.101
1020,46.25,16.5,-0.706
1020,46.75,16.5,0.996
1021,45.25,15.5,-1.561
1021,45.75,15.5,-0.005
1021,46.25,15.5,2.095
1021,46.75,15.5,2.975
1021,45.25,16,-2.435
1021,45.75,16,1.377
1021,46.25,16,-0.92
1021,46.75,16,-0.698
1021,45.25,16.5,1.84
1021,45.75,16.5,-4.326
1021,46.25,16.5,-1.931
1021,46.75,16.5,2.661
1022,45.25,15.5,-1.484
1022,45.75,15.5,-2.224
1022,46.25,15.5,-2.687
1022,46.75,15.5,0.195
1022,45.25,16,-1.221
1022,45.75,16,2.758
1022,46.25,16,-0.968
1022,46.75,16,-0.171
1022,45.25,16.5,-1.979
1022,45.75,16.5,-2.033
1022,46.25,16.5,-0.15
1022,46.75,16.5,0.847
1023,45.25,15.5,-0.064
1023,45.75,15.5,-0.627
1023,46.25,15.5,-0.862
1023,46.75,15.5,-0.22
1023,45.25,16,0.124
1023,45.75,16,3.848
1023,46.25,16,-0.28
1023,46.75,16,0.281
1023,45.25,16.5,-0.054
1023,45.75,16.5,-0.322
1023,46.25,16.5,0.894
1023,46.75,16.5,-0.397
1024,45.25,15.5,-0.415
1024,45.75,15.5,-0.286
1024,46.25,15.5,-0.255
1024,46.75,15.5,0.62
1024,45.25,16,-0.191
1024,45.75,16,-0.006
1024,46.25,16,0.379
1024,46.75,16,0.374
1024,45.25,16.5,-1.062
1024,45.75,16.5,-1.529
1024,46.25,16.5,0.531
1024,46.75,16.5,0.016
1025,45.25,15.5,-1.549
1025,45.75,15.5,-0.74
1025,46.25,15.5,-0.797
1025,46.75,15.5,2.107
1025,45.25,16,-1.821
1025,45.75,16,-1.689
1025,46.25,16,-0.169
1025,46.75,16,0.149
1025,45.25,16.5,-1.728
1025,45.75,16.5,-4.607
1025,46.25,16.5,-0.898
1025,46.75,16.5,1.468
1026,45.25,15.5,-2.538
1026,45.75,15.5,-3.311
1026,46.25,15.5,-3.296
1026,46.75,15.5,-0.208
1026,45.25,16,-3.174
1026,45.75,16,-1.483
1026,46.25,16,-1.161
1026,46.75,16,-0.138
1026,45.25,16.5,-2.414
1026,45.75,16.5,-5.014
1026,46.25,16.5,-1.87
1026,46.75,16.5,-0.7
1027,45.25,15.5,1.152
1027,45.75,15.5,-0.456
1027,46.25,15.5,0.896
1027,46.75,15.5,2.016
1027,45.25,16,-0.321
1027,45.75,16,0.204
1027,46.25,16,-1.646
1027,46.75,16,0.225
1027,45.25,16.5,1.042
1027,45.75,16.5,-2.006
1027,46.25,16.5,0.272
1027,46.75,16.5,1.188
1028,45.25,15.5,0.254
1028,45.75,15.5,-1.74
1028,46.25,15.5,-1.033
1028,46.75,15.5,-1.54
1028,45.25,16,0.366
1028,45.75,16,-3.296
1028,46.25,16,-0.807
1028,46.75,16,-0.286
1028,45.25,16.5,-0.119
1028,45.75,16.5,-1.367
1028,46.25,16.5,-0.283
1028,46.75,16.5,-2.095
1029,45.25,15.5,1.541
1029,45.75,15.5,2.07
1029,46.25,15.5,2.773
1029,46.75,15.5,1.411
1029,45.25,16,0.369
1029,45.75,16,-2.44
1029,46.25,16,-0.377
1029,46.75,16,1.136
1029,45.25,16.5,0.841
1029,45.75,16.5,-1.223
1029,46.25,16.5,-0.774
1029,46.75,16.5,1.38
1030,45.25,15.5,0
1030,45.75,15.5,-2.448
1030,46.25,15.5,-3.054
1030,46.75,15.5,1.37
1030,45.25,16,-0.936
1030,45.75,16,-1.483
1030,46.25,16,-2.603
1030,46.75,16,-2.011
1030,45.25,16.5,-1.962
1030,45.75,16.5,-2.313
1030,46.25,16.5,-1.976
1030,46.75,16.5,-0.977
1031,45.25,15.5,-1.479
1031,45.75,15.5,-2.623
1031,46.25,15.5,-2.651
1031,46.75,15.5,0.543
1031,45.25,16,-0.836
1031,45.75,16,-2.199
1031,46.25,16,-2.359
1031,46.75,16,-0.918
1031,45.25,16.5,-2.109
1031,45.75,16.5,-2.796
1031,46.25,16.5,-0.229
1031,46.75,16.5,-1.104
1032,45.25,15.5,1.517
1032,45.75,15.5,1.624
1032,46.25,15.5,0.35
1032,46.75,15.5,2.524
1032,45.25,16,0.391
1032,45.75,16,0.234
1032,46.25,16,-0.539
1032,46.75,16,-0.561
1032,45.25,16.5,0.208
1032,45.75,16.5,-0.171
1032,46.25,16.5,1.017
1032,46.75,16.5,1.817
1033,45.25,15.5,-0.584
1033,45.75,15.5,-1.282
1033,46.25,15.5,-0.471
1033,46.75,15.5,0.275
1033,45.25,16,-2.268
1033,45.75,16,-1.164
1033,46.25,16,-2.493
1033,46.75,16,-1.301
1033,45.25,16.5,-0.793
1033,45.75,16.5,-2.744
1033,46.25,16.5,-2.594
1033,46.75,16.5,-0.126
1034,45.25,15.5,1.748
1034,45.75,15.5,-1.393
1034,46.25,15.5,-0.174
1034,46.75,15.5,0.878
1034,45.25,16,0.971
1034,45.75,16,-4.266
1034,46.25,16,-0.595
1034,46.75,16,0.042
1034,45.25,16.5,-1.601
1034,45.75,16.5,0.742
1034,46.25,16.5,-2.245
1034,46.75,16.5,1.79
1035,45.25,15.5,2.211
1035,45.75,15.5,1.292
1035,46.25,15.5,0.519
1035,46.75,15.5,0.188
1035,45.25,16,0.873
1035,45.75,16,-0.708
1035,46.25,16,-0.808
1035,46.75,16,0.213
1035,45.25,16.5,0.524
1035,45.75,16.5,0.356
1035,46.25,16.5,-1.195
1035,46.75,16.5,0.739
1036,45.25,15.5,1.575
1036,45.75,15.5,0.458
1036,46.25,15.5,0.34
1036,46.75,15.5,-0.647
1036,45.25,16,0.007
1036,45.75,16,3.525
1036,46.25,16,-0.016
1036,46.75,16,-1.012
1036,45.25,16.5,0.36
1036,45.75,16.5,0.744
1036,46.25,16.5,-1.294
1036,46.75,16.5,1.612
1037,45.25,15.5,-2.395
1037,45.75,15.5,-4.04
1037,46.25,15.5,-3.238
1037,46.75,15.5,0.228
1037,45.25,16,-4.277
1037,45.75,16,-2.014
1037,46.25,16,-2.703
